name,mse_-3.5,ssim_-3.5,ms_ssim_-3.5,mse_3.5,ssim_3.5,ms_ssim_3.5,mse_7.0,ssim_7.0,ms_ssim_7.0,mse_-7.0,ssim_-7.0,ms_ssim_-7.0,mse_4.0,ssim_4.0,ms_ssim_4.0,mse_-4.0,ssim_-4.0,ms_ssim_-4.0,mse_-2.0,ssim_-2.0,ms_ssim_-2.0,mse_2.0,ssim_2.0,ms_ssim_2.0,mse_-3.0,ssim_-3.0,ms_ssim_-3.0,mse_6.0,ssim_6.0,ms_ssim_6.0,mse_-6.0,ssim_-6.0,ms_ssim_-6.0,mse_3.0,ssim_3.0,ms_ssim_3.0,mse_5.0,ssim_5.0,ms_ssim_5.0,mse_-5.0,ssim_-5.0,ms_ssim_-5.0,mse_-2.5,ssim_-2.5,ms_ssim_-2.5,mse_2.5,ssim_2.5,ms_ssim_2.5
0127_20161018_111029_303,0.00010420983016956598,0.9999992251396179,0.9999982714653015,8.018439257284626e-05,0.9999995231628418,0.9999988079071045,7.989277219166979e-05,0.9999995231628418,0.9999988079071045,7.983015530044213e-05,0.9999995231628418,0.9999988079071045,7.989336882019415e-05,0.9999995231628418,0.9999988079071045,9.04067128431052e-05,0.9999993443489075,0.9999985098838806,0.00012622900248970836,0.9999988079071045,0.9999976754188538,7.990586891537532e-05,0.9999995231628418,0.9999988079071045,9.343849524157122e-05,0.9999992847442627,0.9999983906745911,7.989305595401675e-05,0.9999995231628418,0.9999988079071045,7.977901259437203e-05,0.9999995231628418,0.9999988079071045,7.989427103893831e-05,0.9999995231628418,0.9999988079071045,7.989317236933857e-05,0.9999995231628418,0.9999988079071045,7.968414865899831e-05,0.9999995231628418,0.9999988079071045,0.00012992791016586125,0.9999988675117493,0.999997615814209,7.945689867483452e-05,0.9999995231628418,0.9999988079071045
6G7M_20150321_124944_821,0.002730107633396983,0.9996063113212585,0.9999465346336365,0.0025084195658564568,0.9996277689933777,0.9999508857727051,0.0024964988697320223,0.999622642993927,0.999951183795929,0.002450853120535612,0.9996459484100342,0.9999521374702454,0.0035285246558487415,0.9995336532592773,0.999934196472168,0.0029043215326964855,0.9995949864387512,0.9999451637268066,0.0024294722825288773,0.9996481537818909,0.9999526143074036,0.0026349774561822414,0.9996150135993958,0.9999483227729797,0.002843698486685753,0.9995953440666199,0.9999446272850037,0.002497637178748846,0.9996283054351807,0.9999511241912842,0.0025227933656424284,0.9996272921562195,0.9999505877494812,0.0025896329898387194,0.9996340274810791,0.9999494552612305,0.0025074102450162172,0.9996302723884583,0.9999510645866394,0.0030753412283957005,0.9995757937431335,0.9999410510063171,0.00203496590256691,0.9997026920318604,0.9999626278877258,0.0025560781359672546,0.9996246695518494,0.9999498724937439
0037_20160717_132116_222,0.00044667726615443826,0.9999788403511047,0.9999886155128479,0.00043274633935652673,0.9999825954437256,0.9999892115592957,0.00043303382699377835,0.9999831318855286,0.9999892115592957,0.0004600781248882413,0.9999863505363464,0.9999904632568359,0.0004424570070113987,0.9999856948852539,0.9999902844429016,0.000432561180787161,0.9999820590019226,0.9999890923500061,0.0004288528289180249,0.9999800324440002,0.9999889731407166,0.0007930612773634493,0.9999406337738037,0.999986469745636,0.00043272157199680805,0.9999825358390808,0.9999892115592957,0.0005152499070391059,0.9999797940254211,0.9999902844429016,0.00043165931128896773,0.9999814629554749,0.9999890923500061,0.00043122979695908725,0.9999837875366211,0.9999893307685852,0.00042009694152511656,0.9999859929084778,0.9999899864196777,0.00042626133654266596,0.9999801516532898,0.9999890923500061,0.0005571679794229567,0.9999749660491943,0.9999902248382568,0.00043269171146675944,0.9999823570251465,0.9999892115592957
33TJ_20150820_180403_156,0.0010228842729702592,0.9998946189880371,0.999981701374054,0.0011076194932684302,0.9998770356178284,0.9999819397926331,0.001130010699853301,0.9998700022697449,0.9999823570251465,0.0011207018978893757,0.9998751282691956,0.9999820590019226,0.0010273079387843609,0.9999086260795593,0.9999805092811584,0.0011249538511037827,0.9998742938041687,0.9999820590019226,0.0011214049300178885,0.9998714327812195,0.9999822974205017,0.0010456183226779103,0.9998908638954163,0.9999818801879883,0.0010938271880149841,0.9998791813850403,0.9999819397926331,0.0011214333353564143,0.999875009059906,0.9999820590019226,0.0009517197613604367,0.9999045729637146,0.9999826550483704,0.0011262778425589204,0.9998733401298523,0.9999821186065674,0.0011227157665416598,0.9998747706413269,0.9999820590019226,0.0011231673415750265,0.9998689293861389,0.9999823570251465,0.001027798280119896,0.999903678894043,0.9999806880950928,0.001059071277268231,0.9998846054077148,0.9999820590019226
33TJ_20150613_094235_247,0.00013219277025200427,0.9999982714653015,0.9999977946281433,0.00016007937665563077,0.9999971389770508,0.9999973177909851,0.00013614520139526576,0.9999983310699463,0.9999973773956299,0.00013095913163851947,0.9999983310699463,0.9999977946281433,0.00014292194100562483,0.9999966621398926,0.999997615814209,0.00012795653310604393,0.9999975562095642,0.999997615814209,0.00012736218923237175,0.9999983310699463,0.999997615814209,0.00013305264292284846,0.9999980330467224,0.9999977946281433,0.00013541140651796013,0.999997615814209,0.9999976754188538,0.00012918657739646733,0.9999983906745911,0.9999977946281433,0.00013222101551946253,0.9999982714653015,0.9999977946281433,0.00012029769277432933,0.9999983310699463,0.9999976754188538,0.00014911353355273604,0.9999969601631165,0.9999974370002747,0.00012529361993074417,0.9999983906745911,0.9999977946281433,0.00013237075472716242,0.999998152256012,0.9999977946281433,0.00017482748080510646,0.999997615814209,0.9999969601631165
0127_20161105_174745_133,0.00039881246630102396,0.9999735951423645,0.9999933838844299,0.00044945217086933553,0.9999809265136719,0.9999915957450867,0.00039637708687223494,0.9999729990959167,0.9999937415122986,0.00040894653648138046,0.9999690055847168,0.9999942779541016,0.0005167594063095748,0.9999842643737793,0.9999896883964539,0.0003931178944185376,0.9999725818634033,0.9999939799308777,0.00039310738793574274,0.9999697804450989,0.9999942779541016,0.00040882464963942766,0.999981701374054,0.9999925494194031,0.00039747421396896243,0.9999744892120361,0.9999933242797852,0.00039606160135008395,0.9999728798866272,0.9999937415122986,0.00045142698218114674,0.9999828338623047,0.999991238117218,0.0003880651784129441,0.999971866607666,0.9999942183494568,0.0003953388368245214,0.9999728202819824,0.9999938011169434,0.0003991310659330338,0.9999684691429138,0.9999945759773254,0.0005541922873817384,0.9999803900718689,0.9999890923500061,0.0004096910124644637,0.999976396560669,0.9999929070472717
6G7M_20150321_133952_197,9.480123844696209e-05,0.9999992847442627,0.9999982714653015,9.39682504395023e-05,0.9999992847442627,0.9999982714653015,0.00010012256097979844,0.9999992847442627,0.999998152256012,9.420798596693203e-05,0.9999992847442627,0.9999982714653015,9.398368274560198e-05,0.9999992847442627,0.9999982714653015,9.537659207126126e-05,0.9999992847442627,0.9999982714653015,9.394955850439146e-05,0.9999992847442627,0.9999982714653015,0.00015744438860565424,0.9999986290931702,0.999997079372406,9.393966320203617e-05,0.9999992847442627,0.9999982714653015,0.00011028607696061954,0.9999991059303284,0.9999979138374329,9.396580571774393e-05,0.9999992847442627,0.9999982714653015,9.437578410143033e-05,0.9999992847442627,0.9999982714653015,9.554166899761185e-05,0.9999992847442627,0.9999982714653015,0.00013862785999663174,0.9999990463256836,0.9999973773956299,9.43879276746884e-05,0.9999992847442627,0.9999982714653015,9.395976667292416e-05,0.9999992847442627,0.9999982714653015
1125_20151229_174356_901,6.595240847673267e-05,0.9999997615814209,0.9999985694885254,6.560453766724095e-05,0.9999997615814209,0.9999985694885254,0.00012319347297307104,0.9999990463256836,0.999997615814209,9.623848018236458e-05,0.9999992847442627,0.9999980330467224,0.0001954238978214562,0.9999971985816956,0.9999961853027344,6.53080569463782e-05,0.9999997615814209,0.9999985694885254,6.549277168232948e-05,0.9999997615814209,0.9999985694885254,7.547714631073177e-05,0.9999997019767761,0.9999983906745911,6.539138121297583e-05,0.9999997615814209,0.9999985694885254,6.60796431475319e-05,0.9999997615814209,0.9999985694885254,6.559205939993262e-05,0.9999997615814209,0.9999985694885254,0.00010128007124876603,0.9999992251396179,0.9999979138374329,6.64362742099911e-05,0.9999997615814209,0.9999985694885254,6.555596337420866e-05,0.9999997615814209,0.9999985694885254,0.00010863139323191717,0.9999992251396179,0.9999979138374329,0.0001327895006397739,0.9999988675117493,0.9999973773956299
0039_20141007_164039_446,0.0011426651617512107,0.9998987317085266,0.9999777674674988,0.0011773415608331561,0.9998930096626282,0.9999774098396301,0.0012680965010076761,0.9998972415924072,0.9999750256538391,0.0011476657819002867,0.9998990893363953,0.9999776482582092,0.001230989582836628,0.9998969435691833,0.9999757409095764,0.00119240942876786,0.9998881816864014,0.9999774098396301,0.0013515326427295804,0.9999013543128967,0.9999735951423645,0.001140973181463778,0.9998976588249207,0.9999778270721436,0.0011506176088005304,0.9998953938484192,0.9999777674674988,0.0012742148246616125,0.9999000430107117,0.9999749660491943,0.0011421296512708068,0.9998984932899475,0.9999778270721436,0.0011614757822826505,0.9998988509178162,0.9999774098396301,0.001174552133306861,0.9998989701271057,0.9999771118164062,0.001392949023284018,0.9998860359191895,0.9999725222587585,0.0011719574686139822,0.9998907446861267,0.9999776482582092,0.0011412730673328042,0.9998982548713684,0.9999778270721436
33TJ_20150810_140637_256,0.0002617659338284284,0.9999836087226868,0.9999963641166687,0.00023076969955582172,0.9999865889549255,0.9999966621398926,0.00025501532945781946,0.999993622303009,0.9999956488609314,0.00023416735348291695,0.9999855160713196,0.9999966621398926,0.00023654491815250367,0.9999855160713196,0.9999966621398926,0.000245858944253996,0.9999923706054688,0.9999959468841553,0.0002520509297028184,0.9999842643737793,0.9999964833259583,0.00024259321799036115,0.9999968409538269,0.9999950528144836,0.0002344599924981594,0.9999855160713196,0.9999966621398926,0.00024876766838133335,0.999994695186615,0.999995231628418,0.00022917971364222467,0.9999871850013733,0.9999967217445374,0.00024016824318096042,0.9999852776527405,0.9999966621398926,0.000358676043106243,0.999992847442627,0.999993085861206,0.00025627968716435134,0.9999837875366211,0.9999964833259583,0.0002240928733954206,0.9999901652336121,0.9999966621398926,0.00023507575679104775,0.9999855160713196,0.9999966621398926
