name,metric,ev1,ev2,score
0,0006_20160721_172953_515,mse,-4.0,-2.0,13716.176107462232
1,0006_20160721_172953_515,ssim,-4.0,-2.0,0.1846764543015722
2,0006_20160721_172953_515,mse,-4.0,0.0,5725.192935877746
3,0006_20160721_172953_515,ssim,-4.0,0.0,0.5742541096699103
4,0006_20160721_172953_515,mse,-4.0,2.0,453.75368155627444
5,0006_20160721_172953_515,ssim,-4.0,2.0,0.9326907787885963
6,0006_20160721_172953_515,mse,-4.0,4.0,922.1977665588341
7,0006_20160721_172953_515,ssim,-4.0,4.0,0.8793902247273153
8,0006_20160721_172953_515,mse,-2.0,0.0,6426.712517291333
9,0006_20160721_172953_515,ssim,-2.0,0.0,0.5333699253076555
10,0006_20160721_172953_515,mse,-2.0,2.0,677.6356702501934
11,0006_20160721_172953_515,ssim,-2.0,2.0,0.9180430992609329
12,0006_20160721_172953_515,mse,-2.0,4.0,767.9927866549032
13,0006_20160721_172953_515,ssim,-2.0,4.0,0.9203972988746693
14,0006_20160721_172953_515,mse,0.0,2.0,695.2252774782429
15,0006_20160721_172953_515,ssim,0.0,2.0,0.9134217149681602
16,0006_20160721_172953_515,mse,0.0,4.0,87.201230271542
17,0006_20160721_172953_515,ssim,0.0,4.0,0.9769492489505702
18,0006_20160721_172953_515,mse,2.0,4.0,1467.4996895729178
19,0006_20160721_172953_515,ssim,2.0,4.0,0.9518042670964574
name,metric,ev1,ev2,score
0,0006_20160721_163256_525,mse,-4.0,-2.0,13416.647774183359
1,0006_20160721_163256_525,ssim,-4.0,-2.0,0.27186755130107065
2,0006_20160721_163256_525,mse,-4.0,0.0,4507.6817931793175
3,0006_20160721_163256_525,ssim,-4.0,0.0,0.7272497260893225
4,0006_20160721_163256_525,mse,-4.0,2.0,217.27356250476532
5,0006_20160721_163256_525,ssim,-4.0,2.0,0.9634828494012128
6,0006_20160721_163256_525,mse,-4.0,4.0,2366.0783338234814
7,0006_20160721_163256_525,ssim,-4.0,4.0,0.7820910786916867
8,0006_20160721_163256_525,mse,-2.0,0.0,5384.604112886536
9,0006_20160721_163256_525,ssim,-2.0,0.0,0.6785164468005825
10,0006_20160721_163256_525,mse,-2.0,2.0,127.49684126828524
11,0006_20160721_163256_525,ssim,-2.0,2.0,0.9703437950684849
12,0006_20160721_163256_525,mse,-2.0,4.0,2463.46373993835
13,0006_20160721_163256_525,ssim,-2.0,4.0,0.8349591723600177
14,0006_20160721_163256_525,mse,0.0,2.0,163.99511485802046
15,0006_20160721_163256_525,ssim,0.0,2.0,0.9696716834494383
16,0006_20160721_163256_525,mse,0.0,4.0,415.5411397575401
17,0006_20160721_163256_525,ssim,0.0,4.0,0.9608540834583152
18,0006_20160721_163256_525,mse,2.0,4.0,2105.429424130532
19,0006_20160721_163256_525,ssim,2.0,4.0,0.9350839451987228
name,metric,ev1,ev2,score
0,0006_20160721_170707_736,mse,-4.0,-2.0,14295.347966974916
1,0006_20160721_170707_736,ssim,-4.0,-2.0,0.21529624450547735
2,0006_20160721_170707_736,mse,-4.0,0.0,5456.844721105774
3,0006_20160721_170707_736,ssim,-4.0,0.0,0.6601345685847624
4,0006_20160721_170707_736,mse,-4.0,2.0,177.4503071594288
5,0006_20160721_170707_736,ssim,-4.0,2.0,0.956889952178915
6,0006_20160721_170707_736,mse,-4.0,4.0,1604.3528820703852
7,0006_20160721_170707_736,ssim,-4.0,4.0,0.7573559707134322
8,0006_20160721_170707_736,mse,-2.0,0.0,6294.846823296191
9,0006_20160721_170707_736,ssim,-2.0,0.0,0.6121200903943059
10,0006_20160721_170707_736,mse,-2.0,2.0,259.73304087834526
11,0006_20160721_170707_736,ssim,-2.0,2.0,0.9595489695600508
12,0006_20160721_170707_736,mse,-2.0,4.0,1461.015537692383
13,0006_20160721_170707_736,ssim,-2.0,4.0,0.8483814789457952
14,0006_20160721_170707_736,mse,0.0,2.0,324.42243679813527
15,0006_20160721_170707_736,ssim,0.0,2.0,0.9561300053481397
16,0006_20160721_170707_736,mse,0.0,4.0,225.62796675707176
17,0006_20160721_170707_736,ssim,0.0,4.0,0.9628890255441395
18,0006_20160721_170707_736,mse,2.0,4.0,1495.6513631561177
19,0006_20160721_170707_736,ssim,2.0,4.0,0.9446193649227812
