name,metric,4.0,5.0,6.0,7.0
6G7M_20150321_124944_821,mse,-2.0,-2.5,6.0,-7.0
6G7M_20150321_124944_821,ssim,-2.0,-2.5,3.0,-7.0
6G7M_20150321_124944_821,ms_ssim,-2.0,-2.5,6.0,-7.0
33TJ_20150613_094235_247,mse,-2.0,-5.0,3.0,-7.0
33TJ_20150613_094235_247,ssim,-2.0,-5.0,6.0,7.0
33TJ_20150613_094235_247,ms_ssim,2.0,-5.0,6.0,-3.5
0127_20161105_174745_133,mse,-2.0,5.0,3.0,7.0
0127_20161105_174745_133,ssim,4.0,-2.5,-6.0,3.5
0127_20161105_174745_133,ms_ssim,-2.0,-5.0,3.0,-7.0
1125_20151229_174356_901,mse,-4.0,-5.0,-3.0,3.5
1125_20151229_174356_901,ssim,-4.0,5.0,-3.0,-3.5
1125_20151229_174356_901,ms_ssim,-4.0,5.0,-3.0,-3.5
33TJ_20150810_140637_256,mse,4.0,-2.5,-6.0,3.5
33TJ_20150810_140637_256,ssim,2.0,5.0,6.0,7.0
33TJ_20150810_140637_256,ms_ssim,4.0,-2.5,-6.0,3.5
0030_20151217_215717_243,mse,4.0,-2.5,-3.0,3.5
0030_20151217_215717_243,ssim,-4.0,-5.0,6.0,7.0
0030_20151217_215717_243,ms_ssim,4.0,-5.0,-3.0,-3.5
0009_20160702_183851_839,mse,4.0,2.5,-6.0,-3.5
0009_20160702_183851_839,ssim,-2.0,2.5,-6.0,-3.5
0009_20160702_183851_839,ms_ssim,-4.0,-2.5,-3.0,-3.5
4WBR_20150501_182815_157,mse,-4.0,5.0,6.0,-7.0
4WBR_20150501_182815_157,ssim,-4.0,5.0,6.0,-7.0
4WBR_20150501_182815_157,ms_ssim,-4.0,5.0,6.0,-7.0
synthetic_lines_day,mse,2.0,2.5,3.0,-7.0
synthetic_lines_day,ssim,2.0,2.5,3.0,-7.0
synthetic_lines_day,ms_ssim,2.0,2.5,3.0,-7.0
0272_20151215_235321_128,mse,-4.0,-2.5,6.0,-3.5
0272_20151215_235321_128,ssim,-4.0,-5.0,6.0,-3.5
0272_20151215_235321_128,ms_ssim,-4.0,-5.0,6.0,-3.5
0244_20151010_145139_465,mse,4.0,-5.0,-3.0,7.0
0244_20151010_145139_465,ssim,-2.0,5.0,6.0,7.0
0244_20151010_145139_465,ms_ssim,4.0,-5.0,-3.0,-3.5
0382_20150919_124947_577,mse,4.0,2.5,6.0,-3.5
0382_20150919_124947_577,ssim,2.0,5.0,-6.0,3.5
0382_20150919_124947_577,ms_ssim,4.0,2.5,6.0,-3.5
0089_20160701_175557_524,mse,2.0,2.5,6.0,-7.0
0089_20160701_175557_524,ssim,2.0,5.0,6.0,-7.0
