name,mse_-3.5,ssim_-3.5,ms_ssim_-3.5,mse_3.5,ssim_3.5,ms_ssim_3.5,mse_7.0,ssim_7.0,ms_ssim_7.0,mse_-7.0,ssim_-7.0,ms_ssim_-7.0,mse_4.0,ssim_4.0,ms_ssim_4.0,mse_-4.0,ssim_-4.0,ms_ssim_-4.0,mse_-2.0,ssim_-2.0,ms_ssim_-2.0,mse_2.0,ssim_2.0,ms_ssim_2.0,mse_-3.0,ssim_-3.0,ms_ssim_-3.0,mse_6.0,ssim_6.0,ms_ssim_6.0,mse_-6.0,ssim_-6.0,ms_ssim_-6.0,mse_3.0,ssim_3.0,ms_ssim_3.0,mse_5.0,ssim_5.0,ms_ssim_5.0,mse_-5.0,ssim_-5.0,ms_ssim_-5.0,mse_-2.5,ssim_-2.5,ms_ssim_-2.5,mse_2.5,ssim_2.5,ms_ssim_2.5
33TJ_20150820_125048_881,0.000531691533979,0.999975383282,0.999989509583,0.000615661148913,0.999974668026,0.999987900257,0.000577762257308,0.999975860119,0.999988794327,0.000624416396022,0.99997407198,0.999987602234,0.000544553622603,0.999976813793,0.999989330769,0.000553602701984,0.999976694584,0.999989211559,0.000402637670049,0.999985039234,0.999992191792,0.000293220422463,0.999990999699,0.999994277954,0.000607078603934,0.999974906445,0.999988138676,0.000460263690911,0.999981582165,0.999990940094,0.000514977786224,0.99997729063,0.99998998642,0.000610862392932,0.999974668026,0.999987900257,0.000586185662542,0.999975442886,0.99998831749,0.000423965830123,0.999983131886,0.999991714954,0.0015722514363,0.999762058258,0.999969661236,0.000587325775996,0.9999756217,0.999988496304
0830_20151127_162114_447,0.000519956171047,0.999956130981,0.999990522861,0.000620041799266,0.999967873096,0.999988138676,0.000545581162442,0.99995136261,0.999990046024,0.000519961991813,0.99995547533,0.999990642071,0.000521805486642,0.99995470047,0.999990463257,0.000556295271963,0.999963343143,0.999989509583,0.00114536157344,0.999931037426,0.999977350235,0.000556741491891,0.999949932098,0.999989688396,0.000684719823766,0.999974489212,0.999986469746,0.000520249886904,0.999955356121,0.999990642071,0.000524527218658,0.999957025051,0.999990403652,0.000527944474015,0.999953508377,0.999990284443,0.000900185725186,0.999952018261,0.999982774258,0.000520703324582,0.999955117702,0.999990522861,0.000519178051036,0.999959945679,0.999990284443,0.000552020792384,0.999949872494,0.999989807606
4KK2_20150818_172058_316,0.000377646356355,0.999988019466,0.999992609024,0.000370318564819,0.999987900257,0.999992847443,0.000458869850263,0.9999807477,0.999991178513,0.000324171560351,0.999988019466,0.999993801117,0.000419730873546,0.999986469746,0.999991893768,0.000359730242053,0.999987840652,0.999993026257,0.000514209736139,0.999981105328,0.999990165234,0.000320848223055,0.999987363815,0.999993979931,0.000493167142849,0.999979555607,0.999990463257,0.000368833687389,0.999987900257,0.999992847443,0.000347259163391,0.999987542629,0.99999332428,0.000394877715735,0.999987542629,0.999992311001,0.000573537603486,0.999977648258,0.999989271164,0.000287893461064,0.999988257885,0.999994695187,0.00040200309013,0.999987542629,0.999992191792,0.000365785672329,0.999987900257,0.999992907047
33TJ_20150606_200451_239,0.00195307156537,0.999689877033,0.999962568283,0.00194546987768,0.999687850475,0.999962985516,0.00195223581977,0.999690055847,0.999962627888,0.00201047421433,0.99970126152,0.999961853027,0.00191785302013,0.99969047308,0.99996393919,0.00197353260592,0.999696731567,0.999962389469,0.0021214610897,0.999756634235,0.999960958958,0.00186746229883,0.999697685242,0.999964296818,0.00195478345267,0.999690771103,0.999962568283,0.00195520813577,0.999690949917,0.999962508678,0.00201059738174,0.999707698822,0.999962091446,0.00187398667913,0.99969291687,0.999964296818,0.00206570862792,0.999741494656,0.999961555004,0.00196035439149,0.999692499638,0.999962508678,0.00194634648506,0.999685764313,0.999962985516,0.00199673022144,0.99967956543,0.999962151051
bee7_20150818_111032_862,0.000179988172022,0.999998807907,0.999997317791,0.000182359814062,0.99999833107,0.999996840954,0.000175624008989,0.999998807907,0.999997437,0.000178788788617,0.999998867512,0.999997317791,0.00017640653823,0.999998867512,0.999997317791,0.000143247219967,0.999998807907,0.999997437,0.000176492307219,0.999998807907,0.999997437,0.000178336034878,0.999998509884,0.999997138977,0.000183677126188,0.999998569489,0.999997198582,0.00017834987375,0.999998867512,0.999997317791,0.000146891790791,0.999998867512,0.99999755621,0.000175807610503,0.999998986721,0.999997377396,0.000177498528501,0.999998867512,0.999997317791,0.000174722372321,0.999998807907,0.999997437,0.000302853324683,0.999994039536,0.999993979931,0.000183270240086,0.999998569489,0.999997138977
4KK2_20150913_114439_572,0.00013805126946,0.999994039536,0.999998152256,0.000180568473297,0.999996185303,0.999996900558,0.000136327798828,0.999994039536,0.999998271465,0.000142460732604,0.999993979931,0.999998152256,0.000136271031806,0.999994039536,0.999998271465,0.000176451168954,0.999998390675,0.999996721745,0.000158788898261,0.999996125698,0.999997437,0.000136235743412,0.999993979931,0.999998271465,0.000133308465593,0.999994456768,0.999998271465,0.00013631771435,0.999994039536,0.999998271465,0.000190343547729,0.999996900558,0.999996483326,0.000136227637995,0.999994039536,0.999998271465,0.000136304763146,0.999994039536,0.999998271465,0.000143741301144,0.999993979931,0.999998092651,0.000224483854254,0.999996006489,0.999995708466,0.000138743795105,0.999995231628,0.999998033047
0030_20151211_204115_337,0.000108805536001,0.999998748302,0.999998271465,0.000108908738184,0.999998748302,0.999998271465,0.000110857945401,0.999998748302,0.999998092651,0.000108492844447,0.999998748302,0.999998271465,0.000108422718768,0.999998748302,0.999998271465,8.67214766913e-05,0.999999284744,0.999998509884,0.000108465334051,0.999998748302,0.999998271465,0.000103827100247,0.999998807907,0.999998271465,0.000108732150693,0.999998748302,0.999998271465,0.000108438573079,0.999998748302,0.999998271465,0.000108488333353,0.999998748302,0.999998271465,0.000113593690912,0.999999046326,0.999998033047,0.000158578550327,0.999997913837,0.999997138977,0.000108959167846,0.999998748302,0.999998271465,0.000106380015495,0.999998748302,0.999998271465,0.00010847960948,0.999998748302,0.999998271465
6G7M_20150413_163215_207,0.000833297963254,0.999954938889,0.999983787537,0.000782807415817,0.999964177608,0.999985456467,0.000761942297686,0.999965190887,0.999985933304,0.000738373026252,0.999963462353,0.999986827374,0.000758530688472,0.999964475632,0.999986112118,0.000889337272383,0.99992275238,0.999982297421,0.000779758032877,0.999972045422,0.999984920025,0.000755693414249,0.999955177307,0.999986827374,0.000785237469245,0.99996560812,0.999985277653,0.000761447357945,0.999964952469,0.999985933304,0.000828599266242,0.999933540821,0.999983489513,0.000756569497753,0.999963819981,0.999986350536,0.000759724876843,0.999964892864,0.999985992908,0.000679926073644,0.999968349934,0.999988019466,0.000792511797044,0.999968349934,0.999985039234,0.000879651284777,0.999924361706,0.99998241663
0919_20150910_141523_164,0.00016062206123,0.999994754791,0.999997317791,0.000119900018035,0.99999666214,0.999998092651,0.000158657145221,0.999994814396,0.999997377396,0.000162899290444,0.999993979931,0.999997437,0.000132213986944,0.99999588728,0.999997854233,0.000161195042892,0.999994516373,0.999997377396,0.000186093137017,0.999996721745,0.99999666214,0.000163105680258,0.999993145466,0.999997437,0.000112946829177,0.999996960163,0.999998152256,0.000160707844771,0.999994575977,0.999997317791,0.000161965959705,0.99999409914,0.999997377396,0.000155942136189,0.999994933605,0.999997377396,0.00015651670401,0.999993801117,0.999997615814,0.000147313607158,0.99999833107,0.999997377396,0.00016084346862,0.999994516373,0.999997317791,0.000150207793922,0.999995291233,0.999997437
0043_20160922_205148_972,8.85138142621e-05,0.999999284744,0.999998271465,5.96075806243e-05,0.999998986721,0.999998867512,5.95728415647e-05,0.999998986721,0.999998867512,5.98765873292e-05,0.999998986721,0.999998867512,0.000149642524775,0.999998152256,0.999997317791,5.95748751948e-05,0.999998986721,0.999998867512,8.39520798763e-05,0.99999922514,0.99999833107,5.95887649979e-05,0.999998986721,0.999998867512,9.44970015553e-05,0.999998867512,0.999998092651,5.9573478211e-05,0.999998986721,0.999998867512,7.5426294643e-05,0.999999463558,0.999998569489,5.95786659687e-05,0.999998986721,0.999998867512,5.95747114858e-05,0.999998986721,0.999998867512,5.69313669985e-05,0.999999344349,0.999998867512,0.000311356649036,0.999994218349,0.999993801117,9.09579102881e-05,0.999998867512,0.999998271465
0382_20150924_085908_990,0.000233181926887,0.999996006489,0.999995052814,0.000220766145503,0.99999666214,0.999995410442,0.000233466387726,0.999996006489,0.999995052814,0.000242491078097,0.999995529652,0.999995052814,0.000183381402167,0.99999755621,0.999996244907,0.000199793110369,0.999997198582,0.99999588728,0.000106055704236,0.99999922514,0.999998092651,0.000226770003792,0.999996244907,0.999995231628,0.000217291744775,0.999996721745,0.999995410442,0.000153742454131,0.999998569489,0.999997079372,0.000231434227317,0.999996006489,0.999995172024,0.000232309364947,0.999996006489,0.999995052814,0.00088572234381,0.999941647053,0.999983608723,0.000222563816351,0.999996364117,0.999995291233,0.000192054358195,0.999997437,0.999996125698,0.000230538484175,0.999996185303,0.999995172024
