name,mse_-3.5,ssim_-3.5,ms_ssim_-3.5,mse_3.5,ssim_3.5,ms_ssim_3.5,mse_7.0,ssim_7.0,ms_ssim_7.0,mse_-7.0,ssim_-7.0,ms_ssim_-7.0,mse_4.0,ssim_4.0,ms_ssim_4.0,mse_-4.0,ssim_-4.0,ms_ssim_-4.0,mse_-2.0,ssim_-2.0,ms_ssim_-2.0,mse_2.0,ssim_2.0,ms_ssim_2.0,mse_-3.0,ssim_-3.0,ms_ssim_-3.0,mse_6.0,ssim_6.0,ms_ssim_6.0,mse_-6.0,ssim_-6.0,ms_ssim_-6.0,mse_3.0,ssim_3.0,ms_ssim_3.0,mse_5.0,ssim_5.0,ms_ssim_5.0,mse_-5.0,ssim_-5.0,ms_ssim_-5.0,mse_-2.5,ssim_-2.5,ms_ssim_-2.5,mse_2.5,ssim_2.5,ms_ssim_2.5
1125_20160212_141458_946,0.00159237266053,0.999843597412,0.999970853329,0.00181812397204,0.999765574932,0.999966144562,0.00159475090913,0.999843299389,0.999970734119,0.00167412683368,0.99983215332,0.999970257282,0.00205707596615,0.99968624115,0.999961137772,0.00157910876442,0.999849975109,0.999971628189,0.00174347078428,0.999814987183,0.999967515469,0.0015881403815,0.999844551086,0.999971091747,0.00158380565699,0.99984639883,0.999971210957,0.0016418750165,0.999836266041,0.99996972084,0.00190773932263,0.999707221985,0.999964237213,0.00159173039719,0.999843657017,0.999970853329,0.00160738441627,0.999846458435,0.999971210957,0.00197338685393,0.999691665173,0.999962747097,0.00159042677842,0.999843895435,0.999970912933,0.00163989176508,0.999841928482,0.999969482422
33TJ_20150821_173902_341,0.000697786861565,0.999948441982,0.999989032745,0.000704507925548,0.99994546175,0.999989509583,0.00108392897528,0.999913394451,0.999979674816,0.000684410857502,0.999948501587,0.999989271164,0.000977190095,0.99992442131,0.999982118607,0.000700761098415,0.999947249889,0.999989211559,0.000697820156347,0.999948322773,0.999989032745,0.00127675198019,0.999903738499,0.999975204468,0.00112709437963,0.999911487103,0.999978542328,0.000698796124198,0.999948203564,0.99998909235,0.000749215192627,0.999948680401,0.99998742342,0.000697679410223,0.999948322773,0.999989032745,0.000780211179517,0.999947726727,0.999986827374,0.00122633820865,0.999905049801,0.999976158142,0.000697637617122,0.999948441982,0.999989032745,0.000647398817819,0.999944210052,0.999990940094
0037_20160716_142140_510,0.000560882908758,0.999976575375,0.999989807606,0.000549882999621,0.999977767467,0.999990165234,0.000516699627042,0.99997740984,0.999990999699,0.000674858223647,0.999974489212,0.999986588955,0.000856357335579,0.999938189983,0.999982655048,0.0004863635113,0.999976336956,0.999992072582,0.000536629173439,0.999977767467,0.999990463257,0.000632275477983,0.99997574091,0.999987781048,0.000518933113199,0.999977529049,0.999990940094,0.000573845813051,0.999975860119,0.999989330769,0.000548046431504,0.999977648258,0.999990165234,0.000776490254793,0.999947845936,0.999984443188,0.000578731298447,0.999976098537,0.999989211559,0.000544352224097,0.999977767467,0.999990224838,0.000480904593132,0.999977767467,0.999992072582,0.000774726213422,0.999949991703,0.999984264374
62CL_20150215_175214_360,0.000394348229747,0.999988853931,0.999990403652,0.000395997427404,0.999989032745,0.999990642071,0.000438589719124,0.999989271164,0.999990224838,0.00039121080772,0.999989032745,0.99999076128,0.000417781004217,0.999989032745,0.999990522861,0.000404751597671,0.999988794327,0.99998998642,0.000397149007767,0.999988853931,0.999990463257,0.00048495203373,0.999984025955,0.999990165234,0.000448246049928,0.99999076128,0.999990284443,0.000398342119297,0.999988973141,0.999990463257,0.000396253424697,0.999989032745,0.999990642071,0.0003966819786,0.999988734722,0.999990701675,0.000405047874665,0.999988734722,0.999990642071,0.000484713964397,0.999987602234,0.999989807606,0.000396572373575,0.999989032745,0.999990642071,0.000393661670387,0.99998909235,0.999990224838
4KK2_20150718_150425_654,0.000706212420482,0.999942064285,0.99999076128,0.000977219315246,0.999926149845,0.999984562397,0.000723840552382,0.999941587448,0.999990284443,0.000738172209822,0.999941110611,0.99998998642,0.000713662710041,0.999941647053,0.999990642071,0.00132897275034,0.999882042408,0.999976217747,0.00071995187318,0.999941766262,0.999990403652,0.000846320297569,0.999939739704,0.999987065792,0.000749824976083,0.999942600727,0.999989569187,0.000717358896509,0.999941885471,0.999990463257,0.000723182107322,0.999941647053,0.999990284443,0.000942167302128,0.999932944775,0.999984502792,0.000677943986375,0.999942600727,0.999991416931,0.00123703083955,0.999903261662,0.999978721142,0.000721977557987,0.999941766262,0.999990284443,0.000743152399082,0.999944627285,0.999989509583
0919_20150906_125531_061,0.000514123181347,0.999950885773,0.999993264675,0.000747878046241,0.99995392561,0.999987602234,0.000512284750585,0.999951422215,0.999993145466,0.00051227863878,0.999951422215,0.999993145466,0.000510669313371,0.99995136261,0.999993264675,0.000639164762106,0.999956846237,0.999989748001,0.000508115510456,0.999951183796,0.99999332428,0.000892017327715,0.999944448471,0.999984323978,0.000512018683366,0.999951422215,0.999993145466,0.000865665380843,0.999946892262,0.999984920025,0.000555174832698,0.999955713749,0.999991834164,0.000509236240759,0.999951303005,0.99999332428,0.000554486643523,0.999956429005,0.99999165535,0.000511530146468,0.99995136261,0.999993145466,0.00051374983741,0.999950945377,0.999993145466,0.000868693343364,0.999946594238,0.999984920025
6G7M_20150307_143446_533,0.00010853765707,0.999999344349,0.99999833107,0.000128358937218,0.99999910593,0.999998271465,0.000143190482049,0.999998807907,0.99999755621,0.000108419124444,0.999999344349,0.99999833107,0.000124040874653,0.99999922514,0.999997913837,0.000109663247713,0.999999344349,0.99999833107,0.000155176152475,0.999998390675,0.999997138977,0.000108701424324,0.999999344349,0.99999833107,0.000108950152935,0.999999344349,0.99999833107,0.000140482152347,0.999998807907,0.99999755621,0.000108563595859,0.999999344349,0.99999833107,0.000107481624582,0.999999344349,0.99999833107,0.000107937288703,0.999999344349,0.99999833107,0.000181255396456,0.999998092651,0.999996721745,0.000122261670185,0.99999922514,0.99999833107,0.000108608648588,0.999999344349,0.99999833107
0158_20160702_163422_023,0.000163495438755,0.999996960163,0.999997377396,0.000162285083206,0.999996900558,0.999997317791,0.000170237355633,0.999996185303,0.999997138977,0.000154105611728,0.999997198582,0.999997437,0.00014609239588,0.999997079372,0.999997675419,0.00014789935085,0.999997317791,0.999997615814,0.000158919530804,0.999996960163,0.999997377396,0.000174792992766,0.999997913837,0.999996840954,0.000154685854795,0.999996960163,0.999997437,0.000142761855386,0.999998033047,0.99999755621,0.000161834555911,0.999996900558,0.999997317791,0.000175379420398,0.999995946884,0.999997079372,0.000157255868544,0.999996960163,0.999997437,0.000181516690645,0.999996960163,0.999996840954,0.000140316900797,0.999997615814,0.999997794628,0.000160917552421,0.999996900558,0.999997377396
6G7M_20150328_160326_861,0.000201525719604,0.999991416931,0.99999666214,0.000219002235099,0.999990165234,0.999996423721,0.000207341232453,0.999990999699,0.999996483326,0.000266498682322,0.999993026257,0.999994814396,0.000207820325159,0.999990880489,0.999996483326,0.000201336777536,0.999992668629,0.999996483326,0.000209442601772,0.999989748001,0.99999666214,0.000306394998915,0.99999588728,0.99999409914,0.000207397548365,0.999990999699,0.999996483326,0.000275507220067,0.999994218349,0.999994575977,0.000206269673072,0.999991178513,0.999996483326,0.000208348574233,0.999990522861,0.999996483326,0.000237916770857,0.999989032745,0.99999588728,0.000207608944038,0.999990940094,0.999996483326,0.000416887400206,0.999989330769,0.999991953373,0.00021049073257,0.999990046024,0.99999666214
33TJ_20150819_125949_761,0.000234687016928,0.999995946884,0.999995410442,0.000196111752302,0.999995231628,0.999997198582,0.000137743394589,0.999997913837,0.999997794628,0.000163095872267,0.999997377396,0.999997317791,0.000184845936019,0.999996900558,0.99999666214,0.000134615736897,0.999998033047,0.999997854233,0.000120124364912,0.999998092651,0.999998271465,0.000257348176092,0.999995529652,0.999994933605,0.000257656880422,0.999994754791,0.999994933605,0.000137339855428,0.999997913837,0.999997794628,0.0001637617097,0.999997079372,0.999997198582,0.000130155909574,0.999998033047,0.999997913837,0.000329580187099,0.999993622303,0.999993503094,0.000176384070073,0.999997138977,0.999997437,0.000136474889587,0.999997913837,0.999997794628,0.000163739954587,0.999997794628,0.999997198582
